# StartTime = 07/20/2018 01:53:17.7217 PM									
Time (sec)	 Vehicle speed (MPH)	 Engine RPM (RPM)	 Absolute throttle position (%)	 Absolute load value (%)		MPH	RPM	Throttle 	Load
14.001	50.95244	3822	17.64706	11.37255		51	3875	18	12
14.061	50.95244	3822	17.64706	11.37255		51	3875	18	12
14.125	50.95244	3822	17.64706	11.37255		51	3875	18	12
14.189	50.95244	3822	17.64706	11.37255		51	3875	18	12
14.25	51.57381	3822	17.64706	11.37255		51	3875	18	12
14.311	51.57381	3822	17.64706	11.37255		51	3875	18	12
14.375	51.57381	3826	17.64706	11.37255		51	3875	18	12
14.439	51.57381	3826	17.64706	11.37255		51	3875	18	12
14.499	51.57381	3826	17.64706	11.37255		51	3875	18	12
14.561	51.57381	3830	17.64706	11.37255		51	3875	18	12
14.625	51.57381	3830	17.64706	10.98039		51	3875	18	10
14.689	51.57381	3830	17.64706	10.98039		51	3875	18	10
14.75	51.57381	3830	17.64706	10.98039		51	3875	18	10
14.811	51.57381	3834	17.64706	10.98039		51	3875	18	10
14.875	51.57381	3834	17.64706	10.98039		51	3875	18	10
14.939	51.57381	3834	17.64706	10.98039		51	3875	18	10
14.999	51.57381	3834	17.64706	10.98039		51	3875	18	10
15.061	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.125	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.189	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.251	51.57381	3828	17.64706	11.37255		51	3875	18	12
15.311	51.57381	3828	17.64706	11.37255		51	3875	18	12
15.375	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.439	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.499	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.562	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.626	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.689	51.57381	3834	17.64706	10.98039		51	3875	18	10
15.752	51.57381	3834	17.64706	10.98039		51	3875	18	10
15.812	51.57381	3834	17.64706	10.98039		51	3875	18	10
15.876	51.57381	3834	17.64706	10.98039		51	3875	18	10
15.939	51.57381	3834	17.64706	11.37255		51	3875	18	12
15.999	51.57381	3834	17.64706	11.37255		51	3875	18	12
16.061	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.125	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.189	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.252	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.311	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.375	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.439	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.499	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.561	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.625	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.689	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.749	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.813	51.57381	3846	17.64706	11.37255		51	3875	18	12
